Pressure3pm,Temp3pm,WindSpeed3pm,Humidity3pm,WindDir3pm,RainTomorrow
1033.4,15.5,31.0,80.0,13,0
1010.5,14.6,20.0,87.0,0,0
1011.2,9.8,11.0,82.0,4,1
1015.2,21.3,24.0,89.0,11,1
1013.1,33.6,6.0,41.0,7,0
1008.9,13.9,59.0,71.0,9,1
1018.6,18.6,9.0,46.0,10,0
1019.7,20.7,24.0,92.0,5,1
1019.2,28.2,13.0,31.0,14,0
1017.7,17.7,7.0,61.0,2,0
1023.1,16.8,26.0,63.0,15,0
1018.3,27.2,17.0,25.0,11,0
1025.0,17.7,17.0,66.0,5,1
1011.5,20.8,20.0,81.0,5,0
1008.6,30.0,20.0,35.0,3,0
1013.5,32.1,13.0,21.0,13,0
1014.7,30.7,11.0,33.0,12,0
1012.9,31.6,13.0,42.0,12,0
1006.6,21.5,26.0,10.0,8,0
1015.1,26.9,15.0,83.0,13,0
1015.9,27.0,11.0,30.0,13,0
1010.8,33.7,11.0,40.0,7,0
1014.6,21.2,22.0,66.0,6,0
1023.5,27.2,19.0,23.0,11,0
1010.2,32.3,7.0,18.0,3,0
1013.7,19.9,20.0,35.0,0,0
1021.8,17.2,30.0,81.0,11,0
1015.9,25.9,19.0,60.0,2,0
1019.0,13.8,4.0,100.0,8,1
1020.2,17.0,11.0,56.0,10,0
1018.0,20.0,6.0,56.0,9,0
1010.2,20.7,44.0,72.0,2,1
1015.8,25.2,28.0,31.0,11,0
1017.5,28.8,13.0,18.0,13,0
1009.0,21.4,28.0,47.0,15,0
1022.1,18.4,15.0,41.0,9,0
1020.7,24.0,13.0,42.0,14,0
1013.9,20.9,13.0,80.0,0,0
1016.4,28.0,7.0,14.0,7,0
1016.7,21.7,15.0,93.0,11,0
1012.3,18.0,13.0,48.0,15,0
1021.5,19.5,39.0,79.0,9,0
1011.5,15.8,15.0,47.0,0,0
1020.1,20.3,11.0,72.0,11,0
1001.1,28.2,35.0,13.0,0,0
1015.1,19.1,30.0,69.0,12,1
1017.3,24.9,17.0,66.0,2,0
1013.4,21.4,9.0,63.0,14,0
1019.5,19.1,39.0,59.0,2,0
1026.0,21.8,20.0,70.0,5,0
1004.1,33.0,19.0,23.0,10,0
1015.7,15.9,9.0,24.0,13,0
1014.0,33.9,13.0,21.0,6,0
1006.7,35.6,26.0,11.0,4,0
1013.1,25.6,20.0,67.0,15,0
1022.6,20.6,13.0,61.0,15,0
1017.1,32.3,11.0,29.0,7,0
1005.1,19.3,13.0,41.0,0,0
1017.5,17.1,11.0,31.0,14,0
1015.5,23.6,31.0,73.0,13,0
1013.5,28.7,15.0,47.0,5,0
1023.5,17.0,15.0,40.0,5,0
1016.1,20.3,7.0,49.0,2,0
1010.2,10.6,11.0,94.0,14,1
1008.2,22.2,6.0,70.0,8,0
1013.4,21.8,17.0,100.0,9,1
1018.1,17.9,19.0,73.0,15,0
1024.1,15.9,9.0,50.0,12,0
1009.0,28.4,17.0,71.0,15,0
1032.0,17.4,28.0,60.0,13,0
1022.6,17.4,20.0,51.0,11,1
1006.3,29.1,17.0,69.0,6,0
1017.5,20.7,24.0,57.0,1,1
1015.5,28.9,7.0,26.0,6,0
1018.8,24.3,15.0,88.0,13,0
1021.2,23.9,31.0,56.0,2,0
1015.1,27.3,20.0,71.0,13,0
1024.4,25.6,17.0,56.0,6,0
1021.9,17.4,13.0,64.0,9,0
1024.4,20.3,30.0,80.0,15,0
1014.9,24.4,13.0,45.0,6,0
1015.7,18.8,9.0,72.0,4,0
1022.5,22.7,13.0,73.0,13,1
1022.8,24.8,13.0,65.0,11,0
1019.8,28.1,11.0,32.0,7,0
1012.3,26.1,19.0,49.0,12,0
1016.3,20.7,17.0,31.0,0,0
1008.1,23.5,13.0,83.0,5,1
1017.4,22.7,24.0,65.0,11,0
1016.0,24.5,37.0,54.0,10,0
1016.0,16.0,20.0,32.0,0,0
1008.6,35.1,11.0,25.0,15,1
1016.1,22.6,15.0,71.0,6,0
1018.9,16.4,11.0,34.0,10,0
1025.2,22.3,7.0,43.0,12,0
1011.1,22.0,33.0,78.0,15,1
1011.2,21.6,20.0,66.0,12,1
1015.4,19.0,30.0,100.0,13,1
1019.9,29.6,24.0,50.0,2,1
1015.7,23.3,7.0,27.0,15,0
1010.1,18.9,6.0,50.0,5,0
1010.7,24.9,24.0,79.0,15,1
1007.4,14.7,30.0,60.0,4,1
1020.0,19.5,13.0,35.0,3,0
1033.8,11.8,9.0,83.0,4,0
1013.1,21.9,33.0,26.0,0,0
1029.4,16.8,13.0,43.0,13,0
1015.0,20.3,17.0,68.0,15,1
1020.2,30.2,13.0,28.0,11,0
1013.3,20.7,37.0,95.0,6,1
1020.4,20.5,15.0,65.0,11,0
1014.8,21.7,33.0,71.0,13,1
1017.3,21.8,11.0,59.0,13,1
1015.3,21.2,28.0,53.0,13,1
1014.3,17.0,30.0,66.0,2,0
1010.3,29.2,13.0,54.0,15,0
1019.9,26.6,13.0,40.0,15,0
1020.3,27.4,11.0,42.0,12,0
1020.9,17.8,17.0,55.0,9,0
1019.1,14.4,9.0,61.0,6,0
1002.7,21.7,31.0,83.0,9,0
1021.6,16.9,15.0,76.0,13,0
1002.2,15.7,19.0,93.0,14,1
1020.4,21.9,15.0,62.0,2,0
1016.4,33.1,20.0,23.0,15,0
1018.1,21.4,13.0,55.0,2,1
1025.2,15.2,15.0,54.0,10,0
1018.7,20.0,13.0,52.0,13,0
1029.2,19.8,28.0,66.0,15,0
1017.7,23.8,17.0,59.0,11,0
1015.2,15.4,15.0,87.0,12,0
1010.4,24.1,9.0,36.0,0,0
1011.2,38.4,20.0,14.0,14,0
1021.2,20.9,9.0,28.0,5,0
1007.6,27.5,11.0,34.0,13,0
1018.8,24.1,13.0,36.0,0,0
1007.8,39.6,24.0,15.0,0,0
1012.1,25.3,6.0,50.0,11,1
1018.0,12.9,26.0,47.0,1,0
1016.5,21.7,20.0,69.0,15,0
1013.4,21.4,20.0,79.0,7,0
1030.2,17.6,6.0,59.0,7,0
1006.8,28.6,13.0,32.0,1,0
1019.5,16.7,7.0,70.0,2,0
1015.1,23.0,15.0,32.0,1,0
1007.4,17.2,19.0,49.0,15,1
1024.1,16.6,11.0,93.0,4,1
1006.1,29.3,15.0,45.0,11,1
1021.6,14.9,24.0,91.0,9,1
1026.7,20.3,7.0,46.0,14,0
1016.1,18.1,19.0,60.0,0,1
1014.2,16.4,15.0,38.0,4,0
1012.6,19.3,26.0,36.0,1,0
1012.3,20.1,22.0,33.0,13,0
1014.5,39.0,9.0,19.0,14,0
1029.1,20.2,4.0,41.0,13,0
1022.9,22.6,26.0,65.0,7,0
1020.7,20.8,13.0,47.0,14,0
1010.3,38.8,20.0,29.0,3,0
1018.3,16.2,7.0,40.0,0,0
1010.4,31.1,17.0,8.0,12,0
1011.8,9.1,19.0,82.0,4,1
1010.0,24.6,28.0,76.0,15,1
1013.9,23.6,17.0,67.0,12,1
1018.4,20.4,4.0,92.0,10,1
1011.7,18.1,31.0,71.0,9,1
1011.6,28.3,19.0,12.0,1,0
1016.0,23.9,13.0,24.0,1,0
1015.5,21.5,22.0,78.0,9,1
1010.1,34.2,20.0,23.0,5,0
1018.9,25.4,17.0,49.0,2,0
1025.4,12.1,9.0,81.0,1,0
1015.7,23.1,26.0,77.0,15,0
1019.0,19.8,35.0,85.0,6,1
1010.3,41.4,13.0,14.0,12,0
1009.8,42.4,11.0,17.0,6,1
1019.3,20.1,19.0,45.0,6,0
1019.3,27.2,9.0,31.0,13,0
1009.0,22.4,19.0,84.0,2,0
1019.7,25.2,24.0,69.0,15,0
1008.6,37.5,28.0,20.0,14,0
1020.9,20.8,17.0,63.0,2,0
1010.3,33.7,24.0,9.0,10,0
1001.6,16.6,17.0,85.0,12,1
1002.6,33.4,13.0,20.0,13,0
1012.0,16.1,19.0,41.0,4,0
1005.8,22.7,31.0,91.0,14,1
1007.6,18.5,43.0,65.0,4,1
1003.3,18.0,30.0,35.0,4,0
1015.4,26.9,13.0,73.0,14,0
1004.6,39.0,22.0,11.0,0,0
1022.9,19.4,26.0,32.0,11,0
1015.5,29.3,15.0,51.0,2,0
1017.3,25.5,22.0,79.0,15,1
1015.6,19.6,13.0,68.0,5,1
1020.8,26.2,17.0,30.0,14,0
1021.2,20.9,24.0,34.0,10,0
1018.3,11.3,19.0,65.0,0,0
1022.1,16.0,28.0,49.0,13,0
1013.8,23.7,31.0,80.0,15,1
1015.2,19.6,7.0,46.0,12,0
1016.3,18.6,48.0,62.0,11,0
1009.7,22.7,26.0,90.0,14,0
1017.6,24.1,17.0,17.0,11,0
1023.1,12.6,26.0,38.0,10,0
1010.6,26.1,17.0,35.0,7,0
1015.5,24.8,33.0,55.0,15,0
1014.4,28.0,7.0,31.0,10,0
1018.6,26.2,4.0,53.0,7,1
1015.2,32.9,17.0,11.0,5,0
1005.3,26.1,30.0,25.0,10,0
1009.8,37.6,26.0,44.0,2,0
1020.7,19.8,20.0,74.0,5,0
1015.8,27.7,22.0,50.0,6,0
1003.4,30.3,4.0,54.0,6,0
1008.6,24.4,6.0,25.0,4,0
1012.0,30.7,9.0,13.0,3,0
1017.5,16.8,17.0,39.0,4,0
1010.1,27.2,15.0,62.0,12,1
1013.9,18.6,22.0,43.0,9,0
1010.0,31.1,13.0,21.0,2,0
1003.6,31.2,26.0,28.0,4,0
1016.5,15.9,15.0,54.0,14,1
1022.3,19.1,7.0,40.0,11,0
1011.3,31.0,6.0,40.0,11,1
1010.0,16.9,20.0,41.0,0,0
1022.0,16.0,4.0,81.0,5,1
1012.6,25.2,13.0,13.0,13,0
1016.4,23.2,33.0,67.0,5,0
1014.5,19.5,11.0,93.0,9,1
1017.1,21.0,9.0,98.0,15,1
1003.5,20.6,20.0,68.0,12,0
1023.3,17.7,24.0,67.0,14,0
1016.1,23.3,30.0,69.0,10,0
1017.3,16.0,24.0,53.0,9,0
1026.3,22.0,22.0,49.0,6,0
1019.9,19.5,7.0,89.0,15,1
1027.8,17.0,19.0,19.0,10,0
1010.1,30.2,6.0,17.0,1,0
1015.5,21.6,22.0,38.0,4,0
1004.0,25.4,11.0,44.0,0,0
1016.3,22.9,9.0,54.0,4,0
1010.2,41.2,11.0,11.0,11,0
1017.1,16.1,17.0,46.0,9,0
1021.6,19.7,13.0,36.0,13,0
1025.6,14.1,15.0,44.0,10,0
1020.6,10.2,13.0,73.0,0,1
1018.5,14.8,13.0,79.0,5,1
1007.0,23.1,30.0,53.0,8,1
1015.1,24.6,37.0,65.0,9,1
1020.4,13.4,13.0,61.0,15,0
1004.8,27.6,11.0,26.0,15,0
1025.2,11.1,6.0,83.0,15,0
1005.9,26.3,15.0,32.0,1,0
1002.8,12.1,19.0,65.0,3,0
1015.4,17.1,20.0,84.0,4,1
1010.6,23.9,26.0,77.0,14,1
1023.8,21.1,31.0,70.0,15,0
1015.7,17.3,35.0,79.0,13,0
1023.8,22.2,7.0,56.0,14,0
1016.4,21.8,19.0,52.0,6,0
1017.7,23.1,22.0,11.0,9,0
1016.2,22.9,9.0,38.0,0,0
1021.4,19.3,20.0,25.0,9,0
1007.9,35.3,15.0,14.0,1,0
1000.7,23.0,24.0,80.0,12,1
1028.9,16.1,4.0,61.0,6,0
1020.3,19.2,13.0,73.0,14,0
1012.6,26.4,20.0,57.0,5,1
1010.9,34.3,20.0,4.0,12,0
1014.8,25.3,11.0,19.0,10,0
1019.4,23.3,17.0,61.0,6,0
1008.2,18.3,15.0,50.0,7,1
1024.4,15.4,28.0,73.0,13,1
1008.4,33.9,6.0,9.0,0,0
1007.3,43.1,13.0,7.0,1,0
1007.1,18.5,9.0,47.0,2,0
1021.9,19.2,24.0,64.0,14,0
1007.5,15.4,39.0,39.0,0,0
1016.6,19.6,20.0,71.0,11,0
1020.0,20.8,37.0,57.0,15,0
1018.9,22.0,15.0,55.0,5,0
1021.3,22.6,35.0,54.0,15,0
1026.4,19.9,19.0,54.0,15,0
1001.5,25.2,41.0,86.0,1,1
1012.2,34.8,9.0,23.0,10,0
1025.1,19.3,17.0,67.0,5,0
1019.2,26.1,22.0,62.0,7,0
1010.4,20.7,2.0,35.0,8,0
1012.6,24.7,19.0,61.0,10,0
1026.5,16.3,6.0,60.0,15,0
1012.9,20.6,15.0,76.0,11,0
1019.8,22.0,26.0,81.0,2,1
1011.4,38.3,17.0,13.0,3,0
1018.9,23.8,13.0,64.0,2,0
1021.4,25.5,17.0,65.0,15,0
1015.3,29.9,13.0,30.0,13,0
1011.0,15.9,6.0,42.0,4,0
1021.8,17.0,7.0,40.0,0,0
1011.7,12.7,15.0,89.0,10,0
1017.1,22.1,35.0,23.0,1,0
1010.8,26.5,6.0,53.0,10,0
1014.3,23.8,19.0,90.0,11,1
1016.5,20.4,19.0,100.0,13,1
1010.5,28.2,15.0,28.0,10,0
1012.3,35.1,15.0,19.0,1,0
1006.7,39.0,37.0,20.0,3,0
1007.4,28.1,17.0,58.0,11,0
1019.8,24.5,22.0,53.0,7,0
1012.5,25.5,24.0,73.0,9,1
1019.9,18.1,20.0,68.0,15,0
999.3,15.8,24.0,51.0,3,0
1016.6,24.4,33.0,59.0,14,0
1005.4,24.0,7.0,88.0,5,1
1017.8,26.7,13.0,34.0,13,0
1005.8,28.8,11.0,24.0,13,0
1020.9,17.0,28.0,40.0,10,0
1010.3,37.4,24.0,10.0,0,0
1025.9,18.6,13.0,67.0,11,0
1004.6,36.8,20.0,9.0,10,0
998.5,40.6,30.0,12.0,4,0
1011.1,29.8,24.0,68.0,15,1
1009.3,11.5,20.0,93.0,3,1
1019.0,21.4,19.0,23.0,4,0
1014.3,20.7,20.0,73.0,15,1
1017.4,16.7,28.0,61.0,4,0
1015.3,23.0,20.0,53.0,1,0
1020.5,27.8,20.0,61.0,7,0
1009.3,29.2,17.0,14.0,9,0
1009.8,25.0,31.0,85.0,15,1
1013.0,29.6,11.0,28.0,9,1
1008.8,21.3,20.0,53.0,13,0
1012.9,26.0,2.0,39.0,5,0
1008.8,22.3,19.0,44.0,1,0
1012.0,34.2,7.0,27.0,3,0
1013.7,28.6,9.0,32.0,2,0
1020.8,15.8,9.0,94.0,1,1
1029.1,16.9,6.0,65.0,11,0
1013.7,22.9,26.0,55.0,11,1
1004.6,32.4,28.0,15.0,3,0
1021.1,17.7,30.0,77.0,14,0
1020.3,15.6,22.0,46.0,1,1
1011.5,30.5,22.0,14.0,1,0
1006.5,21.9,19.0,44.0,3,0
1013.4,23.9,28.0,64.0,9,1
1009.2,28.7,30.0,45.0,7,0
1015.9,25.5,24.0,57.0,5,0
1013.8,27.2,15.0,50.0,15,0
1007.5,24.4,26.0,20.0,4,0
1014.2,32.5,7.0,35.0,3,0
1010.0,13.0,13.0,74.0,3,0
1022.9,27.6,13.0,10.0,14,0
1030.1,16.7,15.0,46.0,1,0
1017.1,19.6,22.0,69.0,15,1
1013.2,23.2,11.0,38.0,9,0
1022.6,18.2,9.0,39.0,14,0
1018.5,19.0,9.0,53.0,3,0
1023.0,14.8,9.0,70.0,11,0
1012.4,26.6,15.0,50.0,12,1
1019.9,15.1,26.0,40.0,10,0
1005.7,32.5,9.0,28.0,11,1
1017.8,16.1,22.0,47.0,1,0
1023.2,16.3,11.0,50.0,7,0
1016.4,23.1,26.0,56.0,14,0
1020.0,14.3,11.0,60.0,0,0
1018.8,13.7,13.0,100.0,11,1
1011.8,19.1,28.0,82.0,13,1
1020.5,19.2,17.0,45.0,11,0
1016.6,17.1,2.0,84.0,1,0
1017.7,18.7,24.0,19.0,10,0
1018.9,16.3,20.0,64.0,13,0
1013.7,28.5,17.0,26.0,3,0
1013.3,22.0,24.0,77.0,11,0
1010.2,21.5,19.0,52.0,13,0
1012.2,10.4,19.0,87.0,0,1
1007.2,22.6,30.0,84.0,15,0
1014.4,17.6,24.0,49.0,4,0
1020.6,20.2,9.0,93.0,14,1
1009.2,13.5,22.0,53.0,4,0
1020.1,20.3,26.0,67.0,11,0
1020.6,14.2,6.0,52.0,10,0
1005.5,25.3,20.0,71.0,6,1
1009.8,27.2,26.0,45.0,12,0
1013.1,19.6,6.0,90.0,9,1
1010.5,25.9,17.0,65.0,15,0
1012.8,26.5,9.0,16.0,2,0
1021.8,23.0,15.0,54.0,2,0
1012.5,25.8,17.0,26.0,10,0
1022.5,15.2,22.0,74.0,9,1
1015.9,27.9,24.0,56.0,15,0
1003.4,15.6,24.0,40.0,1,0
1016.1,26.6,20.0,71.0,15,0
1019.6,14.5,15.0,79.0,6,0
1020.9,16.9,4.0,76.0,3,1
1018.3,20.9,30.0,59.0,11,0
1018.3,17.2,31.0,88.0,11,1
1027.7,17.6,7.0,37.0,2,0
1028.6,17.7,26.0,64.0,5,1
1011.7,26.6,20.0,40.0,12,1
1029.4,15.0,7.0,42.0,15,0
1013.2,14.4,24.0,56.0,8,0
1012.3,12.8,11.0,98.0,8,1
1006.4,18.4,30.0,70.0,10,1
1022.3,17.7,15.0,53.0,11,0
1014.3,15.8,24.0,41.0,1,0
1017.1,19.3,24.0,28.0,1,0
1014.4,27.2,26.0,72.0,5,0
1019.6,18.1,13.0,59.0,11,0
1027.1,29.4,19.0,28.0,11,0
1017.1,17.1,7.0,46.0,11,0
1023.4,12.7,7.0,97.0,4,1
1021.2,24.8,11.0,80.0,14,1
1015.4,22.1,13.0,39.0,15,0
1006.5,29.1,17.0,12.0,4,0
1016.4,26.4,11.0,29.0,9,0
1019.4,18.6,24.0,62.0,11,0
1021.5,22.0,24.0,72.0,13,0
1019.0,24.7,7.0,19.0,10,0
1011.9,21.5,26.0,35.0,10,0
1015.6,32.3,13.0,28.0,9,0
1011.0,11.9,9.0,71.0,10,0
1013.3,20.3,2.0,75.0,0,1
1018.8,29.8,6.0,45.0,1,0
1010.1,16.2,31.0,92.0,0,1
1017.9,18.0,28.0,64.0,11,1
1020.0,25.3,15.0,53.0,14,0
1006.2,27.0,15.0,53.0,6,0
1008.2,25.0,26.0,54.0,12,1
1015.9,19.0,17.0,67.0,0,0
1005.6,35.6,11.0,24.0,14,0
1014.7,24.6,20.0,29.0,11,0
1020.8,15.5,9.0,49.0,13,0
1011.9,24.5,22.0,72.0,5,0
1015.6,19.7,13.0,51.0,12,0
1009.0,25.7,20.0,23.0,1,0
1023.4,22.0,9.0,66.0,13,1
1018.1,23.5,13.0,33.0,14,0
1014.0,24.9,6.0,58.0,2,0
1009.8,24.8,26.0,24.0,4,0
1009.2,25.8,19.0,22.0,4,0
1019.0,22.4,19.0,85.0,15,0
1027.8,20.5,17.0,66.0,9,1
1002.9,39.8,17.0,30.0,0,0
1015.7,24.2,33.0,67.0,9,1
1013.8,24.1,20.0,54.0,7,0
1020.2,16.7,13.0,70.0,13,0
1009.9,23.1,17.0,84.0,6,1
1014.7,18.7,26.0,79.0,15,1
1028.3,15.9,19.0,59.0,11,1
1023.1,16.8,20.0,59.0,6,0
1020.3,18.5,13.0,61.0,2,0
1020.0,20.7,4.0,28.0,2,0
1024.9,21.8,33.0,53.0,2,0
1017.3,18.7,33.0,16.0,10,0
1010.8,28.1,4.0,55.0,5,0
1012.6,29.6,19.0,25.0,4,0
1010.3,28.8,11.0,35.0,5,1
1012.8,22.7,4.0,81.0,2,1
1004.8,37.7,20.0,21.0,0,0
1016.0,15.2,17.0,69.0,6,0
1013.8,31.6,11.0,33.0,6,0
1024.7,14.1,17.0,49.0,10,0
1009.7,28.0,33.0,63.0,15,0
1013.2,22.5,9.0,65.0,12,1
1022.0,16.4,11.0,73.0,10,0
1010.1,20.6,26.0,86.0,2,1
1005.2,30.1,19.0,12.0,0,0
1016.1,19.4,19.0,78.0,4,0
1009.0,27.4,28.0,31.0,9,0
1016.3,19.7,17.0,59.0,15,0
1010.7,30.0,6.0,32.0,2,0
1006.7,24.8,9.0,81.0,6,1
1022.6,21.7,13.0,53.0,14,0
1018.4,24.6,20.0,32.0,9,0
1028.2,23.8,9.0,36.0,11,0
1010.7,23.5,26.0,60.0,10,1
1019.4,22.6,13.0,22.0,11,0
1019.3,19.5,41.0,70.0,2,0
1019.0,18.0,28.0,56.0,5,0
1010.6,21.9,35.0,61.0,9,0
1024.9,22.5,17.0,30.0,14,0
1016.5,26.1,11.0,57.0,6,0
1005.0,18.0,13.0,60.0,1,0
1003.6,31.6,30.0,31.0,7,0
1018.2,16.4,6.0,61.0,15,0
1006.2,39.7,15.0,5.0,3,0
1006.1,19.8,24.0,80.0,14,0
1014.1,22.4,26.0,61.0,7,1
1011.1,28.7,7.0,24.0,3,0
1020.2,12.4,15.0,70.0,1,0
1010.2,27.6,11.0,59.0,6,1
1005.7,32.5,26.0,16.0,3,0
1014.3,28.6,19.0,39.0,12,1
1019.6,15.0,39.0,90.0,13,1
1005.0,15.4,31.0,34.0,4,0
1020.6,21.6,4.0,29.0,7,0
1011.9,26.8,24.0,16.0,0,0
1015.9,21.1,28.0,73.0,5,1
1017.0,24.9,24.0,48.0,5,1
1011.2,33.3,15.0,6.0,11,0
1016.9,24.0,22.0,32.0,1,0
1022.4,19.4,22.0,79.0,9,1
1021.9,27.9,6.0,39.0,5,0
1022.2,17.7,7.0,53.0,13,0
1016.1,15.0,26.0,51.0,13,0
1008.4,26.9,26.0,28.0,1,0
1010.1,17.1,13.0,45.0,5,0
1011.1,21.3,9.0,70.0,13,1
1014.4,23.4,20.0,58.0,11,0
1013.4,30.8,11.0,23.0,7,0
1015.2,19.4,24.0,48.0,9,0
1024.3,18.8,31.0,77.0,13,1
1025.1,19.1,15.0,48.0,11,0
1014.5,32.5,15.0,31.0,1,0
1026.2,16.6,19.0,86.0,10,1
1029.9,16.8,9.0,46.0,11,1
1022.3,18.3,15.0,49.0,15,0
1020.1,17.7,15.0,36.0,10,0
1012.0,39.4,11.0,13.0,8,0
1013.8,24.6,19.0,71.0,7,0
1013.4,19.8,13.0,46.0,15,0
1011.9,22.9,24.0,70.0,15,1
1012.3,21.1,35.0,83.0,15,0
1013.6,10.4,19.0,69.0,3,1
1018.2,19.3,24.0,33.0,12,0
1018.8,14.3,22.0,82.0,11,1
1014.2,27.9,24.0,26.0,9,0
1014.9,36.2,9.0,21.0,13,0
1020.6,18.6,13.0,57.0,5,0
1008.9,20.3,31.0,44.0,1,0
1022.4,22.3,13.0,72.0,15,0
1013.7,17.1,17.0,62.0,11,0
1017.8,18.2,6.0,76.0,3,1
1008.3,26.0,24.0,50.0,1,0
1026.4,17.4,9.0,42.0,11,0
1005.5,12.3,11.0,73.0,8,1
1016.3,23.5,24.0,72.0,11,0
1015.7,29.4,20.0,24.0,1,0
1014.6,26.7,19.0,60.0,2,1
1017.8,14.5,13.0,100.0,14,1
1019.7,20.3,17.0,62.0,7,0
1017.1,27.2,11.0,23.0,3,0
1018.7,15.3,13.0,86.0,9,0
1017.4,13.7,9.0,76.0,15,1
1010.8,23.1,26.0,52.0,5,0
1006.6,12.3,11.0,76.0,8,1
995.8,16.3,20.0,64.0,3,0
1009.7,39.7,11.0,18.0,3,0
1028.6,17.6,20.0,69.0,9,1
1009.6,19.3,15.0,61.0,7,0
1006.2,18.1,20.0,83.0,14,1
1015.7,25.8,31.0,7.0,1,0
1022.0,26.4,15.0,26.0,4,0
1016.0,24.2,28.0,78.0,2,0
1013.0,27.3,17.0,74.0,7,0
1011.8,31.5,6.0,36.0,11,0
1020.3,22.6,22.0,76.0,15,0
1022.6,16.7,15.0,32.0,11,0
1010.4,21.0,28.0,58.0,13,0
1005.9,33.2,20.0,8.0,4,0
1023.6,22.1,20.0,52.0,15,0
1017.1,6.4,11.0,93.0,5,1
1016.0,24.5,19.0,17.0,5,0
1017.9,22.3,6.0,84.0,9,1
1011.4,17.1,26.0,65.0,4,0
1015.5,20.7,17.0,65.0,15,0
1018.9,16.2,22.0,32.0,10,0
1012.1,24.3,24.0,76.0,7,0
1017.4,18.1,19.0,73.0,5,0
1021.7,23.3,13.0,49.0,14,0
1014.6,26.5,15.0,32.0,12,0
1013.9,20.6,13.0,67.0,11,0
1020.8,20.2,6.0,45.0,5,0
1027.2,17.7,15.0,36.0,7,1
1007.8,29.7,13.0,33.0,4,1
1017.9,27.4,30.0,68.0,15,0
1006.5,30.1,33.0,21.0,10,0
1018.5,22.5,9.0,41.0,15,0
1012.1,31.5,9.0,28.0,1,0
1017.8,24.3,7.0,36.0,10,0
1004.5,26.8,20.0,39.0,3,0
1000.6,26.3,13.0,74.0,7,0
1003.7,28.2,31.0,22.0,8,0
1031.0,14.2,9.0,50.0,2,0
1018.1,18.1,11.0,50.0,0,1
1022.5,17.3,19.0,39.0,5,0
1015.8,15.5,17.0,57.0,10,0
1014.8,15.3,24.0,50.0,0,0
1011.5,11.4,17.0,91.0,12,1
1012.3,20.1,20.0,89.0,9,0
1012.7,27.5,39.0,66.0,14,0
1023.7,16.5,19.0,45.0,5,0
